"id";"prizeGroup";"memberId";"code";"locked";"token";"enteredCodeOn";"hasBeenPaidOn";"validUntil";"crypt";"tstamp";"hasBeenPaid";"ip"
"1";"1";"0";"bab4387a";;;;;;;;;
"2";"2";"0";"df3db65f";;;;;;;;;
"3";"3";"0";"7d7fa58o";;;;;;;;;
"4";"4";"0";"5fa431ca";;;;;;;;;
"5";"5";"0";"d816751l";;;;;;;;;
"6";"6";"0";"138f539l";;;;;;;;;
"7";"7";"0";"bdf036fj";;;;;;;;;
"8";"8";"0";"980c67ff";;;;;;;;;
"9";"9";"0";"6fa674cj";;;;;;;;;
"10";"10";"0";"cd0cla5u";;;;;;;;;
"11";"1";"0";"09cdb1ca";;;;;;;;;
"12";"2";"0";"b242087r";;;;;;;;;
"13";"3";"0";"69f1b44h";;;;;;;;;
"14";"4";"0";"04d07aru";;;;;;;;;
"15";"5";"0";"d833728d";;;;;;;;;
"16";"6";"0";"653c8a6o";;;;;;;;;
"17";"7";"0";"ad719a0s";;;;;;;;;
"18";"8";"0";"d5681b0o";;;;;;;;;
"19";"9";"0";"d410111q";;;;;;;;;
"20";"10";"0";"2a5f867g";;;;;;;;;
"21";"1";"0";"bt61086f";;;;;;;;;
"22";"2";"0";"d99c1u0b";;;;;;;;;
"23";"3";"0";"3d6b21dd";;;;;;;;;
"24";"4";"0";"59pf81bm";;;;;;;;;
"25";"5";"0";"622b912p";;;;;;;;;
"26";"6";"0";"6b7b3d8u";;;;;;;;;
"27";"7";"0";"j6ajb39r";;;;;;;;;
"28";"8";"0";"85ac285r";;;;;;;;;
"29";"9";"0";"43ba2mfm";;;;;;;;;
"30";"10";"0";"2746515o";;;;;;;;;
"31";"1";"0";"9c4f7bfm";;;;;;;;;
"32";"2";"0";"ac2d32cd";;;;;;;;;
"33";"3";"0";"dd39246m";;;;;;;;;
"34";"4";"0";"76a9950g";;;;;;;;;
"35";"5";"0";"f0829cci";;;;;;;;;
"36";"6";"0";"39dd92ai";;;;;;;;;
"37";"7";"0";"6q09922m";;;;;;;;;
"38";"8";"0";"f3f6dcfk";;;;;;;;;
"39";"9";"0";"0b77baar";;;;;;;;;
"40";"10";"0";"b71346fc";;;;;;;;;
"41";"1";"0";"7501d17d";;;;;;;;;
"42";"2";"0";"69734bfj";;;;;;;;;
"43";"3";"0";"84b05f3k";;;;;;;;;
"44";"4";"0";"3746cdbf";;;;;;;;;
"45";"5";"0";"a49c573n";;;;;;;;;
"46";"6";"0";"f930cd9q";;;;;;;;;
"47";"7";"0";"8cd2m21m";;;;;;;;;
"48";"8";"0";"9b0d6l3n";;;;;;;;;
"49";"9";"0";"7h403f4m";;;;;;;;;
"50";"10";"0";"dfk173ak";;;;;;;;;
"51";"1";"0";"76d81g7g";;;;;;;;;
"52";"2";"0";"k3df796s";;;;;;;;;
"53";"3";"0";"bcf254ba";;;;;;;;;
"54";"4";"0";"80af2b4h";;;;;;;;;
"55";"5";"0";"d927121f";;;;;;;;;
"56";"6";"0";"2622u70f";;;;;;;;;
"57";"7";"0";"633p068i";;;;;;;;;
"58";"8";"0";"9bb4005p";;;;;;;;;
"59";"9";"0";"7495a72r";;;;;;;;;
"60";"10";"0";"2b40545g";;;;;;;;;
"61";"1";"0";"69db306i";;;;;;;;;
"62";"2";"0";"r1866a0o";;;;;;;;;
"63";"3";"0";"dcp095ap";;;;;;;;;
"64";"4";"0";"at20d9bt";;;;;;;;;
"65";"5";"0";"3269091a";;;;;;;;;
"66";"6";"0";"9771c80l";;;;;;;;;
